Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
526,-0.7326310780063805,-1.2650405242726566,0.6685698433391389,1.4300937924491048,0.4370031606392466,-1.0662509876898276,0.20130393914835742,-0.14435733199045692,-0.11761366621515401,-0.5417086666180634,-0.2187631911993755,-0.07269206829694702,0.500394766091379,-0.9507019260248641,1.5064934482922205,0.5633702900424535,0.26988033968821884,0.6304715454911842,0.02524530969438732,0.9331903548043483,0.15207355972036685,-0.23939819175834798,0.7052984251799966,0.04839646535568948,0.24827254242313004,-0.01655128608922507,-0.12888869580541717,0.03317451916128659,245.48072236581805,1
543,-0.403086552,1.078431653,1.165327886,-0.187949505,0.499558708,0.016322819,0.573979654,0.19140172,-0.748148125,-0.407914317,1.541271333,0.98052939,0.811858512,-0.37157449,0.387964651,0.34736769,-0.125555559,-0.07616621,-0.041176598,0.150635329,-0.197658679,-0.462064711,-0.047855532,-0.339166392,-0.194769344,0.102003098,0.262818121,0.082944162,2.98,0
480,-1.9925315311162866,0.8935283992159866,-0.05111904168206105,1.4038953857785006,0.28189850398032357,-0.7941389911251003,-0.9733262944804963,0.6944538541546434,-1.213227060297033,-1.2642791510940754,2.009124486745818,-0.663821922167465,-0.023217944696661497,-1.9905249612535263,-0.20518425998654533,-0.541019251048562,-1.5126101187974703,-0.3069311060033774,0.10622805126464996,0.05784031398759204,0.12891436213660395,-0.12253876990218032,-0.3518932485447581,0.009403047782202245,-0.16701133502148727,0.21266176557957167,-0.07673492721233072,-0.2771893197213017,0.5573053688900479,1
124,1.105253453,0.541842002,0.839421415,2.570932706,-0.279517367,-0.423062111,0.08801919,0.011621791,-0.715756445,0.651378619,0.073787016,-0.142023839,-0.739457467,0.502638949,0.736688426,0.256745261,-0.093732099,-1.011415594,-1.465499836,-0.239882551,-0.137434187,-0.460990832,0.189397329,0.556329107,0.18578585,-0.189029501,0.00020799,0.026167047,6.24,0
153,-0.648576026,0.740564583,1.8003815,0.140825684,0.050646442,-0.257415304,0.920469708,-0.422028002,0.590522449,0.300759584,-0.172947796,-0.103424421,-0.774136093,-0.589982858,-0.035946772,-0.935951855,0.240258706,-1.126232946,-0.131411403,0.062914236,-0.229106585,-0.161205344,-0.112529796,0.420750206,-0.13991383,0.163192735,-0.469013664,-0.350543139,22.99,0
391,-0.6385822478904135,0.4423717722918429,1.3684793850622368,0.1631016542943095,0.9249257819291405,-0.567881121535416,0.7105887908736476,-0.07100672176988598,-0.13660611242591197,-0.44986096353440597,-0.8177447679677328,-0.5660343061815966,-1.2506411941581739,0.2519127193323195,0.23011825063698743,-0.43055521352728787,-0.13028938682976632,-0.5888276484803191,-0.6249010573894282,-0.09678879549142683,0.009956867967907346,0.08964944782147832,-0.139752142533954,-0.12026177245825309,-0.12344419498803982,-0.3008704067049238,-0.007270934739920104,-0.022882874888228377,0.9971095247883675,1
403,1.08521407,-0.228463564,0.774502959,1.379281622,-0.469899988,0.765730748,-0.589283517,0.426976106,0.865987344,-0.043911176,0.285295859,0.427668007,-1.776336473,0.092020867,-1.210169033,-0.452907276,0.155038459,-0.094429241,0.168118712,-0.262478353,-0.069034668,0.049994854,-0.111814083,-0.319641705,0.57409203,-0.250481687,0.05751707,0.006986077,15.0,0
328,-4.236419437,-4.459784208,1.381813308,1.117079984,6.044486324,-3.498447175,-2.740892495,0.372155022,-0.214338183,-0.242299844,-1.681844221,0.605227562,1.702995485,0.07545789,0.56515746,0.515252809,-1.184630764,0.381559087,-0.280158913,1.394093411,0.397071817,-0.432517322,0.612506739,-1.016361972,0.63037256,-0.498140915,-0.094774489,0.208038267,2.5,0
252,-2.395433913,-1.545369136,1.9193912,1.062513568,-0.627806202,1.154561001,-0.861500739,1.08948639,-1.34126756,0.200625622,0.824199619,1.088348401,0.539608343,-0.071028266,-0.385580937,-2.407422441,1.103434148,1.035900104,-0.146973943,0.561230219,-0.120568529,-0.473852622,0.453082048,-0.323900293,0.105116691,-0.219200406,0.261788844,-0.122953638,231.71,0
459,-2.910233856748955,-2.225964258925194,0.5966037276885563,2.600214519223057,1.0167481476068156,-1.1307587571880477,-0.19629747327178576,0.1982407176795115,-0.7265051193060823,-1.1910662722754324,0.24467400456311805,-0.940032758525196,0.444686866559987,-2.1654611517498545,1.7069917852621856,0.3372966865931879,-0.025474926955387334,1.4077563375154167,0.3076999385015664,1.7422500728555674,0.6353625480784589,0.3497077994361396,1.040348891472653,-0.181880605167958,0.23691048796437864,-0.08644728968106222,-0.15909413377362389,0.0031281011692766217,432.5718282862182,1
265,0.073631482,1.051207329,-0.281222562,0.853748808,1.065965738,1.21919719,-1.225596906,-2.262214274,-0.584441019,-1.418769413,0.958529021,0.89014718,0.275971998,-0.613831959,1.837590912,-0.600710684,1.918818038,-1.533815049,-2.479603685,0.420519428,-1.15012824,0.870673096,-0.266732961,-1.048732455,0.232705373,-0.262462875,0.187976231,0.231428066,1.0,0
556,-0.2541437525840873,0.207311491259434,0.7510176291964066,0.010827176781622483,0.2872662430638232,-0.6760848053051268,0.18247746398353315,-0.03322849560120858,0.019000690026844805,-0.17520485223847143,0.5108004331581184,0.7089547009168126,0.3903118666523781,-0.23769515823291665,0.19352598349523786,0.2023731761431376,-0.2422193051776552,-0.42597091553578903,-0.16856651528367322,-0.035050970785139635,-0.2327097292386508,-0.5034700219230774,-0.06889082528611565,0.050168469618353,-0.059505258191921595,0.1680246681835907,-0.18513703862676487,-0.17820654274935438,1.1436728516571502,1
518,-1.7549423496322771,-1.8327584346126207,2.3008724092419306,0.920788779136434,2.1194744073247387,0.25180821564797284,-1.4255801498541207,0.571932434422936,0.7066691921959676,-0.38500426453141035,-0.15345693766070972,0.6006906767509888,-0.10487622776130207,-0.6088502387876376,0.4675553136039531,-1.683474201718715,1.1542416770295572,-1.6551417341853005,-0.7550039388294119,0.45160713624051313,0.34089640880477023,0.9860608642226004,0.17054355634188023,-0.5725432749261998,-0.0795158818767602,0.559879710181605,-0.12000165496983864,-0.16068653507462197,1.3854873045376017,1
